Job Title,Industry,Job Status,AI Impact Level,Median Salary (USD),Required Education,Experience Required (Years),Job Openings (2024),Projected Openings (2030),Remote Work Ratio (%),Automation Risk (%),Location,Gender Diversity (%)
Ceramics designer,Entertainment,Increasing,High,52783.55,Bachelor's Degree,4,1473,8555,41.11,41.57,Brazil,32.69
Animal technologist,Healthcare,Decreasing,Moderate,41628.98,Associate Degree,4,1464,6938,54.24,51.77,Canada,44.82
Firefighter,Healthcare,Increasing,Low,63299.19,High School,0,2163,6734,87.31,31.35,Canada,48.98
Charity fundraiser,Retail,Increasing,High,45279.76,Bachelor's Degree,6,7568,9624,23.23,48.21,India,38.94
Housing manager/officer,Retail,Decreasing,Moderate,63301.38,Bachelor's Degree,4,2582,5018,18.15,50.42,USA,34.93
Jewellery designer,Entertainment,Increasing,High,48339.03,Bachelor's Degree,7,3369,3297,87.85,42.73,Canada,43.89
Ecologist,Manufacturing,Decreasing,Moderate,72208.43,Master's Degree,7,5407,4631,43.99,42.41,India,42.53
Operations geologist,Manufacturing,Increasing,High,109568.44,Master's Degree,10,7635,3586,8.59,33.66,USA,26.25
Patent attorney,Finance,Increasing,Low,121360.19,Master's Degree,7,1334,2198,12.72,25.47,China,32.51
Media buyer,Retail,Decreasing,Low,76001.54,Bachelor's Degree,5,1527,5198,76.29,50.45,China,69.95
Town planner,Manufacturing,Increasing,Moderate,84343.06,Master's Degree,8,8467,4447,36.16,38.74,China,26.15
Tour manager,Entertainment,Increasing,High,53490.72,Bachelor's Degree,4,6840,6963,1.36,31.05,UK,26.05
Higher education careers adviser,Education,Increasing,Low,63857.07,Bachelor's Degree,5,7445,9354,53.86,47.73,UK,75.44
Fitness centre manager,Retail,Increasing,Moderate,62250.76,Bachelor's Degree,4,3104,7299,98.89,49.31,UK,69.5
Immunologist,Healthcare,Decreasing,Low,158004.23,PhD,9,7341,8522,33.47,34.86,India,20.75
Contracting civil engineer,Manufacturing,Increasing,High,90955.36,Bachelor's Degree,9,9860,1304,17.25,50.25,Canada,55.07
Surgeon,Healthcare,Increasing,High,248651.75,PhD,13,6281,447,55.15,12.28,Brazil,37.04
Environmental consultant,Manufacturing,Decreasing,Low,91739.0,Master's Degree,3,1830,3231,11.48,38.42,India,39.11
"Engineer, electrical",Manufacturing,Increasing,Low,101355.39,Bachelor's Degree,6,7659,7989,31.94,43.29,Brazil,58.24
"Surveyor, commercial/residential",Retail,Decreasing,Low,69753.0,Bachelor's Degree,8,3922,327,52.4,47.66,India,26.59
Customer service manager,Retail,Increasing,Low,61687.51,Bachelor's Degree,7,2523,2066,74.75,58.39,Australia,79.71
Microbiologist,Healthcare,Decreasing,Moderate,78082.37,Master's Degree,5,5766,1439,77.68,43.49,Germany,30.38
Secretary/administrator,Finance,Increasing,Low,45375.81,High School,1,1437,272,24.61,71.06,USA,28.52
Armed forces operational officer,Transportation,Increasing,Moderate,60401.01,Bachelor's Degree,14,2105,7045,42.29,31.47,USA,20.25
"Therapist, horticultural",Healthcare,Decreasing,Moderate,42280.3,Associate Degree,3,8459,4383,19.56,35.68,Australia,30.99
Architect,Manufacturing,Increasing,Low,82404.35,Master's Degree,12,7292,2487,0.79,28.55,Germany,26.25
"Engineer, structural",Manufacturing,Increasing,High,109259.09,Bachelor's Degree,4,7836,6700,71.9,44.17,Australia,63.61
Trade union research officer,Education,Decreasing,High,45760.17,Bachelor's Degree,2,3144,3121,55.22,49.52,Brazil,60.82
Radio producer,Entertainment,Increasing,Moderate,77463.28,Bachelor's Degree,7,7406,3389,68.35,37.34,Brazil,48.26
Primary school teacher,Education,Decreasing,High,61713.01,Bachelor's Degree,3,1171,8644,74.87,31.21,India,60.76
Site engineer,Manufacturing,Increasing,Moderate,77937.91,Bachelor's Degree,3,1868,6591,85.62,52.92,Australia,26.77
Tour manager,Entertainment,Decreasing,Low,52297.93,Bachelor's Degree,5,3142,507,79.18,42.75,USA,74.74
Electrical engineer,Manufacturing,Increasing,Moderate,99941.22,Bachelor's Degree,3,5614,3475,66.17,40.26,Germany,53.48
Armed forces logistics/support/administrative officer,Transportation,Decreasing,Low,63245.96,Bachelor's Degree,10,2103,3229,38.63,30.61,Germany,53.01
"Programmer, systems",IT,Increasing,Low,117499.11,Bachelor's Degree,4,1876,5623,20.29,35.3,UK,22.67
Archivist,Education,Decreasing,High,65067.59,Master's Degree,4,2569,1514,83.28,43.23,Germany,52.41
Tourist information centre manager,Retail,Increasing,High,39923.53,Bachelor's Degree,2,7005,8436,8.68,52.36,Brazil,77.46
Occupational therapist,Healthcare,Increasing,Moderate,64668.38,Bachelor's Degree,3,7442,8558,47.66,42.57,Brazil,57.67
General practice doctor,Healthcare,Increasing,High,78649.15,Bachelor's Degree,3,4069,5391,99.88,32.27,USA,37.47
Air cabin crew,Transportation,Decreasing,Low,56493.87,High School,1,815,1655,50.9,43.87,USA,74.62
"Therapist, art",Healthcare,Decreasing,Moderate,58199.68,Master's Degree,3,622,2406,47.96,34.73,USA,53.94
"Lighting technician, broadcasting/film/video",Entertainment,Decreasing,High,60499.08,Associate Degree,2,9510,9086,86.47,38.63,China,43.21
Herbalist,Healthcare,Increasing,High,42048.26,Associate Degree,5,813,2546,95.92,38.37,India,64.31
Technical brewer,Manufacturing,Decreasing,Moderate,74713.82,Bachelor's Degree,2,9965,2903,91.98,52.18,Brazil,46.01
Water engineer,Manufacturing,Decreasing,Moderate,97212.88,Bachelor's Degree,5,187,8383,21.9,52.84,USA,28.55
Animal technologist,Healthcare,Decreasing,Moderate,48899.18,Associate Degree,2,2976,8835,34.51,51.63,USA,27.37
Clothing/textile technologist,Manufacturing,Decreasing,Moderate,50019.36,Bachelor's Degree,5,7678,5185,22.6,66.38,Brazil,33.84
Site engineer,Manufacturing,Decreasing,High,86225.02,Bachelor's Degree,5,4517,3138,15.96,47.58,Australia,51.11
Cabin crew,Transportation,Decreasing,High,56802.67,High School,0,4742,4747,92.46,40.08,UK,53.04
Estate manager/land agent,Retail,Increasing,Moderate,63145.86,Bachelor's Degree,4,701,3748,72.19,44.8,Germany,47.46
Database administrator,IT,Decreasing,High,102421.21,Bachelor's Degree,7,5028,7954,13.43,48.81,Brazil,59.66
"Teacher, music",Education,Decreasing,High,44243.58,Bachelor's Degree,2,3722,8025,95.69,29.41,Canada,66.61
Clinical embryologist,Healthcare,Increasing,Moderate,81258.79,Master's Degree,6,6683,3285,74.98,39.86,Australia,37.61
Photographer,Entertainment,Increasing,Moderate,59890.8,Associate Degree,5,3161,1466,89.91,42.63,Brazil,43.23
Consulting civil engineer,Manufacturing,Increasing,Low,116816.63,Bachelor's Degree,9,5603,6775,71.4,38.66,China,76.68
"Designer, multimedia",IT,Increasing,Low,91082.36,Bachelor's Degree,6,3400,2048,42.57,42.3,China,62.43
Architectural technologist,Manufacturing,Increasing,High,82182.96,Bachelor's Degree,5,2870,9159,51.62,49.92,China,20.36
Acupuncturist,Healthcare,Decreasing,Low,57565.93,Associate Degree,5,7125,470,85.94,37.36,Brazil,67.13
"Engineer, technical sales",Manufacturing,Increasing,Low,108887.54,Bachelor's Degree,6,6137,8584,80.82,50.84,China,60.05
"Engineer, mining",Manufacturing,Decreasing,Low,104038.62,Bachelor's Degree,6,6625,5265,96.13,51.53,China,22.78
"Investment banker, operational",Finance,Increasing,High,113052.26,Master's Degree,6,3494,1524,89.76,53.99,UK,40.62
Manufacturing engineer,Manufacturing,Decreasing,Low,113157.14,Bachelor's Degree,7,5842,2181,54.32,60.02,Germany,40.78
"Librarian, public",Education,Increasing,High,56954.38,Master's Degree,6,7767,669,48.68,55.92,Germany,60.52
Air broker,Transportation,Decreasing,Moderate,74986.45,Bachelor's Degree,7,5919,7865,6.29,50.58,India,37.44
Counselling psychologist,Healthcare,Increasing,Low,94409.95,PhD,7,8436,7321,86.99,26.71,Australia,27.0
Microbiologist,Healthcare,Increasing,High,81552.93,Master's Degree,3,7779,2602,15.01,43.39,Brazil,47.94
Quarry manager,Manufacturing,Decreasing,High,70593.26,Bachelor's Degree,4,1542,224,93.08,45.92,China,27.12
Speech and language therapist,Healthcare,Decreasing,Low,76105.33,Bachelor's Degree,4,8551,7427,1.56,33.55,UK,73.21
Ranger/warden,Manufacturing,Increasing,Moderate,39943.53,Bachelor's Degree,2,1135,1815,28.29,33.81,Brazil,22.82
Animal nutritionist,Healthcare,Decreasing,Low,60268.14,Master's Degree,4,1393,5492,44.12,48.37,China,64.51
Ecologist,Manufacturing,Increasing,Low,71516.44,Master's Degree,4,2010,4265,76.32,45.63,USA,34.36
"Engineer, civil (contracting)",Manufacturing,Increasing,High,108535.36,Bachelor's Degree,5,6398,9686,10.28,49.14,India,67.3
Hospital pharmacist,Healthcare,Increasing,Low,123353.97,Bachelor's Degree,2,6427,2431,35.98,51.78,Germany,64.92
Police officer,Healthcare,Increasing,Low,52039.85,Bachelor's Degree,0,1024,4511,36.72,31.42,USA,79.33
Research scientist (maths),Education,Increasing,Moderate,80353.78,PhD,9,1339,8007,18.1,39.94,India,31.77
"Lighting technician, broadcasting/film/video",Entertainment,Decreasing,High,71700.16,Associate Degree,5,6086,1278,13.71,43.68,India,23.89
Radiation protection practitioner,Healthcare,Decreasing,Moderate,83154.22,Master's Degree,6,6513,5031,84.53,36.98,Brazil,61.5
Database administrator,IT,Decreasing,Moderate,107132.23,Bachelor's Degree,7,9910,1918,96.0,59.26,Australia,29.85
Advice worker,Finance,Increasing,Moderate,49626.88,Bachelor's Degree,1,4866,2662,30.27,42.56,Canada,53.4
Meteorologist,Manufacturing,Increasing,Low,89145.82,Master's Degree,8,4293,8258,62.32,43.06,China,70.41
Aeronautical engineer,Manufacturing,Decreasing,Moderate,106332.56,Bachelor's Degree,8,9748,5026,96.93,39.07,China,51.55
"Administrator, local government",Finance,Increasing,Moderate,64200.79,Bachelor's Degree,5,3020,7776,72.28,60.63,China,47.94
Museum/gallery conservator,Education,Decreasing,High,52665.12,Master's Degree,8,245,1348,82.8,33.11,USA,51.48
Technical author,IT,Increasing,Low,77122.9,Bachelor's Degree,6,6805,8708,54.31,43.99,Germany,59.53
Multimedia specialist,IT,Increasing,Moderate,103781.47,Bachelor's Degree,3,3983,4328,28.97,39.84,Germany,62.93
Counsellor,Healthcare,Increasing,High,63289.28,Master's Degree,4,2123,8756,6.46,29.02,China,21.56
"Engineer, maintenance (IT)",IT,Decreasing,Low,67745.97,Bachelor's Degree,7,9241,7360,97.91,42.77,Germany,32.58
Fish farm manager,Manufacturing,Decreasing,Moderate,47021.82,Bachelor's Degree,3,5099,3767,3.67,52.33,UK,66.3
Ambulance person,Healthcare,Increasing,Low,41163.87,High School,2,5664,726,79.7,40.19,Germany,54.18
Multimedia programmer,IT,Decreasing,High,81260.93,Bachelor's Degree,2,5543,7847,42.83,44.9,China,45.09
Higher education lecturer,Education,Increasing,Moderate,69797.69,PhD,12,8656,1839,18.11,27.75,Australia,48.13
Quantity surveyor,Manufacturing,Increasing,High,87998.9,Bachelor's Degree,7,2147,200,91.86,54.18,China,79.28
"Surveyor, commercial/residential",Retail,Increasing,Low,73427.2,Bachelor's Degree,6,6224,4765,97.13,48.49,USA,67.83
Database administrator,IT,Decreasing,High,87932.32,Bachelor's Degree,8,5061,2666,95.49,45.24,Brazil,36.82
Senior tax professional/tax inspector,Finance,Decreasing,High,95803.63,Master's Degree,10,2239,2287,16.95,46.41,UK,35.16
Interpreter,Entertainment,Increasing,Moderate,59342.4,Bachelor's Degree,7,3614,7433,83.06,63.26,UK,57.36
Animator,Entertainment,Increasing,Low,73966.95,Bachelor's Degree,3,9468,1197,73.55,47.98,UK,33.48
"Exhibitions officer, museum/gallery",Entertainment,Increasing,Moderate,60559.0,Bachelor's Degree,5,5842,4041,99.69,37.6,India,43.07
Museum/gallery exhibitions officer,Entertainment,Decreasing,High,51978.59,Bachelor's Degree,3,7452,533,38.31,44.24,Germany,57.39
Press sub,Entertainment,Increasing,Low,56607.15,Bachelor's Degree,3,1865,7124,8.34,53.91,Germany,78.01
Automotive engineer,Manufacturing,Increasing,Low,78642.79,Bachelor's Degree,5,7139,2848,72.38,53.55,China,61.77
Counselling psychologist,Healthcare,Decreasing,Low,90694.7,PhD,8,426,2184,0.43,32.94,UK,53.4
Contractor,Manufacturing,Decreasing,Low,84634.05,Associate Degree,4,3008,5292,93.08,40.4,Germany,55.49
Animal nutritionist,Healthcare,Increasing,Low,68401.72,Master's Degree,5,5068,1631,49.36,49.21,Canada,33.37
Youth worker,Education,Increasing,Moderate,44189.03,Bachelor's Degree,3,8052,7954,65.03,34.65,India,24.81
"Scientist, research (maths)",Education,Decreasing,High,91704.87,PhD,6,847,9885,81.56,40.31,USA,79.69
Horticultural consultant,Manufacturing,Increasing,High,60648.49,Bachelor's Degree,3,7120,7702,9.61,54.42,China,35.75
Music therapist,Healthcare,Increasing,Moderate,60107.01,Master's Degree,5,7886,3875,77.57,24.11,USA,71.87
Careers adviser,Education,Decreasing,Low,44291.78,Bachelor's Degree,3,6192,575,8.04,38.55,Australia,68.89
Paediatric nurse,Healthcare,Increasing,Low,66838.09,Bachelor's Degree,2,4262,7171,27.99,47.18,Germany,64.8
Research scientist (physical sciences),Education,Decreasing,High,88572.05,PhD,5,9680,9221,56.75,28.35,USA,54.16
"Programmer, applications",IT,Increasing,Low,124795.77,Bachelor's Degree,2,6069,2051,92.95,39.94,UK,64.49
Child psychotherapist,Healthcare,Decreasing,High,80786.71,Master's Degree,5,6848,6126,78.17,26.81,China,21.4
Early years teacher,Education,Decreasing,Low,49917.02,Associate Degree,3,2100,4815,78.0,38.27,USA,35.38
Armed forces technical officer,Transportation,Increasing,High,96768.06,Bachelor's Degree,8,8080,8549,88.61,27.66,Canada,41.76
Electrical engineer,Manufacturing,Increasing,High,117530.74,Bachelor's Degree,5,2440,4924,50.73,52.86,USA,71.39
Statistician,Finance,Decreasing,Moderate,95329.94,Master's Degree,4,5190,9121,78.7,41.75,Germany,79.76
Ambulance person,Healthcare,Decreasing,Moderate,51610.88,High School,3,3375,9427,81.03,51.03,USA,34.02
Advertising account executive,Entertainment,Increasing,Moderate,85044.45,Bachelor's Degree,2,148,4850,97.16,50.2,USA,52.83
Electronics engineer,Manufacturing,Decreasing,High,116995.44,Bachelor's Degree,5,1496,6566,48.89,39.55,Canada,20.47
Advertising account planner,Entertainment,Increasing,Low,91589.35,Bachelor's Degree,8,8653,9418,82.02,45.45,Brazil,73.22
Ergonomist,Manufacturing,Decreasing,High,77857.4,Master's Degree,7,3266,7064,90.05,48.43,Germany,64.37
Community arts worker,Entertainment,Decreasing,Low,39005.63,Bachelor's Degree,4,4979,5010,81.84,44.38,Germany,51.08
Accounting technician,Finance,Increasing,Moderate,64484.29,Associate Degree,1,7183,880,26.95,67.11,Brazil,69.01
Magazine features editor,Entertainment,Decreasing,Moderate,86352.04,Bachelor's Degree,7,2277,424,5.01,43.6,UK,34.43
"Engineer, building services",Manufacturing,Decreasing,High,97273.49,Bachelor's Degree,7,9791,2123,54.69,41.38,USA,20.69
"Administrator, local government",Finance,Decreasing,High,55856.14,Bachelor's Degree,5,6622,6520,85.77,58.09,Canada,54.39
Bookseller,Retail,Increasing,Moderate,40790.37,High School,2,3007,8110,82.73,66.72,India,50.56
Cabin crew,Transportation,Increasing,Low,40269.29,High School,4,4674,3718,91.55,47.42,UK,62.46
Cartographer,Manufacturing,Increasing,High,59726.76,Bachelor's Degree,4,6314,3279,65.18,51.62,UK,42.78
Pensions consultant,Finance,Increasing,Moderate,110508.17,Bachelor's Degree,6,1169,9952,93.25,58.59,USA,45.55
"Biochemist, clinical",Healthcare,Increasing,Low,103902.82,Master's Degree,4,2732,8497,78.88,47.95,Germany,34.24
"Designer, ceramics/pottery",Entertainment,Increasing,Moderate,50455.45,Bachelor's Degree,6,9306,2830,65.81,42.58,Brazil,52.0
Dramatherapist,Healthcare,Increasing,Moderate,48521.83,Master's Degree,5,7973,2664,21.48,21.09,USA,67.23
Herbalist,Healthcare,Increasing,Moderate,58080.92,Associate Degree,3,918,374,5.79,32.2,UK,39.75
Water engineer,Manufacturing,Decreasing,Moderate,90479.74,Bachelor's Degree,8,7984,4961,89.47,54.8,Australia,37.78
Training and development officer,Education,Decreasing,High,59356.77,Bachelor's Degree,3,2519,1191,42.86,53.21,China,62.35
Museum education officer,Education,Decreasing,High,42023.65,Bachelor's Degree,4,5590,5737,95.49,46.79,China,74.34
"Therapist, music",Healthcare,Increasing,High,57067.56,Master's Degree,3,3071,6973,70.01,30.62,Canada,22.32
Materials engineer,Manufacturing,Decreasing,Moderate,97266.68,Bachelor's Degree,6,5613,3240,93.38,50.38,Australia,41.79
Clinical biochemist,Healthcare,Decreasing,Low,84847.77,Master's Degree,5,659,5208,33.03,40.61,Canada,61.79
Ceramics designer,Entertainment,Decreasing,Moderate,45861.3,Bachelor's Degree,6,1073,1829,7.61,30.17,India,55.85
Chiropodist,Healthcare,Increasing,Low,61716.52,Associate Degree,3,2667,1438,34.08,53.11,India,56.94
Water engineer,Manufacturing,Increasing,Moderate,99619.01,Bachelor's Degree,3,9794,5764,92.38,51.16,Australia,78.43
Animal nutritionist,Healthcare,Increasing,Low,71069.1,Master's Degree,6,9520,8776,81.51,51.47,Germany,67.35
"Journalist, broadcasting",Entertainment,Increasing,High,68120.47,Bachelor's Degree,3,4540,1996,97.81,31.24,Germany,77.22
Industrial buyer,Retail,Decreasing,High,76907.84,Bachelor's Degree,7,2846,5782,1.07,59.45,UK,41.77
Media buyer,Retail,Increasing,Low,55401.1,Bachelor's Degree,6,3290,6658,18.64,42.65,Germany,51.41
Legal executive,Finance,Decreasing,Moderate,81734.29,Bachelor's Degree,8,8806,833,7.78,55.87,Germany,20.12
"Doctor, hospital",Healthcare,Increasing,Low,242720.41,PhD,11,309,5365,42.61,20.86,USA,73.35
Multimedia programmer,IT,Decreasing,High,113618.61,Bachelor's Degree,3,1353,7982,29.41,37.49,Germany,25.9
Risk manager,Finance,Increasing,Moderate,100840.46,Master's Degree,12,6872,2619,25.13,44.36,China,28.15
Youth worker,Education,Decreasing,High,43296.05,Bachelor's Degree,3,4232,2368,95.97,38.52,Germany,36.53
Recycling officer,Manufacturing,Increasing,Moderate,38908.93,High School,4,103,8879,99.67,59.38,Brazil,57.07
Travel agency manager,Retail,Decreasing,High,46562.33,Bachelor's Degree,8,5362,2577,55.41,61.83,China,69.32
"Teacher, secondary school",Education,Decreasing,High,59263.05,Bachelor's Degree,1,8912,3043,94.05,30.82,China,55.72
Manufacturing engineer,Manufacturing,Increasing,Moderate,93547.94,Bachelor's Degree,4,7670,3918,80.54,48.9,India,32.95
Community pharmacist,Healthcare,Increasing,Moderate,97978.14,Bachelor's Degree,2,5240,4210,90.61,59.62,China,74.61
Tour manager,Entertainment,Increasing,Low,69613.9,Bachelor's Degree,7,4340,9431,38.25,28.48,China,74.5
Quantity surveyor,Manufacturing,Decreasing,Moderate,74791.72,Bachelor's Degree,7,2507,8989,51.17,57.21,Germany,72.84
Publishing rights manager,Finance,Decreasing,Moderate,80541.94,Bachelor's Degree,8,5986,4880,39.83,44.0,Brazil,31.23
Meteorologist,Manufacturing,Decreasing,Moderate,64514.61,Master's Degree,8,4574,6529,94.79,49.25,China,30.94
Volunteer coordinator,Healthcare,Decreasing,Moderate,47337.23,Bachelor's Degree,1,8957,9590,50.64,43.86,UK,76.18
Musician,Entertainment,Decreasing,Moderate,76972.78,Bachelor's Degree,4,7274,9294,73.46,30.27,India,43.97
"Sales professional, IT",IT,Increasing,High,78241.71,Bachelor's Degree,2,1271,3010,94.16,53.66,China,30.86
Retail banker,Finance,Increasing,Moderate,69411.1,Bachelor's Degree,2,5443,7004,73.4,64.03,Australia,62.57
Games developer,IT,Decreasing,High,112478.91,Bachelor's Degree,2,2428,7840,58.46,44.55,Canada,55.81
"Accountant, chartered",Finance,Decreasing,Moderate,112895.35,Bachelor's Degree,7,5257,9137,15.02,53.02,China,49.9
"Teacher, primary school",Education,Decreasing,Moderate,42736.44,Bachelor's Degree,0,2830,9661,56.16,30.21,India,77.44
IT sales professional,IT,Increasing,Low,73767.95,Bachelor's Degree,5,5754,2434,94.27,54.19,India,44.54
Theatre stage manager,Entertainment,Decreasing,Moderate,71992.38,Bachelor's Degree,7,8086,4981,93.93,38.7,Brazil,42.09
Museum/gallery curator,Education,Increasing,Low,68384.19,Master's Degree,7,3828,6111,23.21,42.17,USA,65.8
Petroleum engineer,Manufacturing,Decreasing,Moderate,155227.08,Bachelor's Degree,4,9874,8279,44.42,38.62,India,39.32
Health service manager,Healthcare,Increasing,Moderate,78201.81,Master's Degree,5,2214,3221,52.37,44.31,India,60.35
Planning and development surveyor,Manufacturing,Decreasing,High,82003.76,Bachelor's Degree,8,9965,5384,73.99,50.3,Canada,59.41
Estate agent,Retail,Decreasing,High,71494.97,Bachelor's Degree,3,5930,1998,19.42,57.73,USA,38.27
"Scientist, research (life sciences)",Healthcare,Decreasing,Moderate,80110.09,PhD,5,1702,3499,53.44,35.47,China,36.23
"Surveyor, mining",Manufacturing,Increasing,High,88096.01,Bachelor's Degree,5,4087,6573,77.49,45.8,USA,21.32
"Producer, radio",Entertainment,Increasing,Moderate,83121.99,Bachelor's Degree,8,6372,7684,91.13,44.52,Brazil,22.37
"Engineer, materials",Manufacturing,Decreasing,High,81536.33,Bachelor's Degree,5,4674,940,90.24,48.05,Australia,69.63
"Surveyor, insurance",Finance,Decreasing,High,76700.76,Bachelor's Degree,7,8595,2356,90.03,53.17,UK,48.23
Ceramics designer,Entertainment,Increasing,Low,52601.99,Bachelor's Degree,4,166,4234,31.04,43.55,China,24.35
Public librarian,Education,Decreasing,High,54345.27,Master's Degree,3,7127,786,41.21,47.26,Germany,31.11
Drilling engineer,Manufacturing,Decreasing,Moderate,130395.06,Bachelor's Degree,9,1803,6270,14.21,46.32,UK,73.77
Economist,Finance,Increasing,Low,84550.1,Master's Degree,4,370,8428,16.21,40.22,USA,24.91
Electronics engineer,Manufacturing,Decreasing,Moderate,105699.47,Bachelor's Degree,6,1641,8446,9.91,42.47,India,48.74
Farm manager,Manufacturing,Decreasing,Moderate,65708.07,Bachelor's Degree,3,6336,9949,25.45,56.24,Australia,69.66
Location manager,Entertainment,Increasing,Low,56412.2,Bachelor's Degree,3,316,6617,43.49,35.38,UK,71.1
Amenity horticulturist,Manufacturing,Increasing,High,43164.89,Bachelor's Degree,6,581,6806,16.19,59.7,Germany,71.64
Special educational needs teacher,Education,Increasing,Low,56330.22,Bachelor's Degree,6,9655,8179,14.69,25.14,Brazil,23.19
Mental health nurse,Healthcare,Decreasing,High,67070.9,Bachelor's Degree,4,9737,3603,51.88,39.06,Brazil,24.48
Hydrologist,Manufacturing,Increasing,Low,74897.43,Master's Degree,5,6636,6527,1.66,39.08,Canada,40.94
Bonds trader,Finance,Increasing,Moderate,126656.86,Bachelor's Degree,5,7815,9402,75.29,56.22,India,79.53
Product manager,IT,Increasing,Low,144323.36,Bachelor's Degree,5,9481,4889,56.0,35.73,China,22.03
"Production assistant, television",Entertainment,Increasing,Low,49515.99,Bachelor's Degree,0,994,1417,24.76,50.88,China,55.65
Minerals surveyor,Manufacturing,Increasing,Moderate,69512.14,Bachelor's Degree,7,3742,4073,79.82,43.18,India,38.2
"Engineer, chemical",Manufacturing,Increasing,Moderate,102380.96,Bachelor's Degree,8,2992,3517,62.79,39.33,Canada,46.21
Environmental health practitioner,Healthcare,Increasing,Low,55136.53,Bachelor's Degree,2,765,3065,85.55,42.98,Germany,77.9
Investment analyst,Finance,Increasing,Low,138653.04,Master's Degree,3,3230,2863,37.1,50.05,Brazil,33.92
Media buyer,Retail,Increasing,High,77783.03,Bachelor's Degree,2,4375,6430,31.99,43.38,China,37.56
Aeronautical engineer,Manufacturing,Decreasing,Moderate,114057.27,Bachelor's Degree,9,419,6273,77.76,36.23,Canada,75.99
"Teacher, early years/pre",Education,Decreasing,Low,49850.84,Associate Degree,2,6949,1766,10.19,37.66,Germany,67.83
"Librarian, public",Education,Increasing,Moderate,42051.9,Master's Degree,5,4461,3641,18.31,54.09,USA,53.25
"Scientist, product/process development",Manufacturing,Increasing,Low,96189.09,Master's Degree,7,121,8613,5.53,52.79,Germany,55.01
