Job Title,Industry,Job Status,AI Impact Level,Median Salary (USD),Required Education,Experience Required (Years),Job Openings (2024),Projected Openings (2030),Remote Work Ratio (%),Automation Risk (%),Location,Gender Diversity (%)
83,7,1,0,73318.63,0,11,1473,8555,41.11,57.59,1,32.69
36,7,0,2,72953.11,3,3,1464,6938,54.24,1.9,2,44.82
253,4,1,1,34082.78,2,4,2163,6734,87.31,90.32,2,48.98
84,0,1,0,41523.13,1,2,7568,9624,23.23,63.1,5,38.94
303,0,0,2,92165.61,4,17,2582,5018,18.15,66.91,7,34.93
331,6,1,0,62229.93,2,15,3369,3297,87.85,21.83,2,43.89
178,4,0,2,106122.32,0,17,5407,4631,43.99,4.91,5,42.53
413,1,1,0,142549.39,2,5,7635,3586,8.59,70.67,7,26.25
423,1,1,1,76323.91,0,18,1334,2198,12.72,21.4,3,32.51
368,7,0,1,79665.42,4,20,1527,5198,76.29,41.06,3,69.95
616,1,1,2,41105.21,3,14,8467,4447,36.16,67.4,3,26.15
613,2,1,0,121435.0,0,5,6840,6963,1.36,93.49,6,26.05
291,2,1,1,124663.97,3,9,7445,9354,53.86,35.94,6,75.44
256,7,1,2,41067.95,1,20,3104,7299,98.89,59.01,6,69.5
314,4,0,1,148115.7,4,2,7341,8522,33.47,71.87,5,20.75
136,2,1,0,38486.99,4,12,9860,1304,17.25,72.21,2,55.07
566,3,1,0,35799.45,4,2,6281,447,55.15,87.52,1,37.04
226,7,0,1,54495.6,0,20,1830,3231,11.48,48.54,5,39.11
207,5,1,1,65875.53,4,3,7659,7989,31.94,31.73,1,58.24
569,4,0,1,60038.64,1,0,3922,327,52.4,88.22,5,26.59
146,2,1,1,50955.44,1,20,2523,2066,74.75,76.44,0,79.71
381,1,0,2,113064.81,1,6,5766,1439,77.68,47.32,4,30.38
540,6,1,1,97806.7,3,4,1437,272,24.61,60.71,7,28.52
45,2,1,2,102858.12,2,20,2105,7045,42.29,10.19,7,20.25
607,3,0,2,82449.59,4,11,8459,4383,19.56,46.59,0,30.99
41,3,1,1,147313.07,1,16,7292,2487,0.79,61.68,4,26.25
220,0,1,0,77792.33,1,7,7836,6700,71.9,36.73,0,63.61
619,4,0,0,82029.69,3,8,3144,3121,55.22,98.23,1,60.82
496,2,1,2,105560.54,3,20,7406,3389,68.35,19.84,1,48.26
448,5,0,0,137071.8,2,0,1171,8644,74.87,52.54,5,60.76
545,2,1,2,50632.02,3,1,1868,6591,85.62,30.27,0,26.77
613,6,0,1,80521.07,1,6,3142,507,79.18,8.83,7,74.74
189,5,1,2,88804.87,1,2,5614,3475,66.17,5.43,4,53.48
44,6,0,1,113965.96,0,11,2103,3229,38.63,48.58,4,53.01
468,2,1,1,131852.51,2,9,1876,5623,20.29,7.3,6,22.67
43,2,0,0,33072.25,3,7,2569,1514,83.28,83.87,4,52.41
615,6,1,0,46195.73,0,8,7005,8436,8.68,89.63,1,77.46
407,5,1,2,82210.61,4,20,7442,8558,47.66,20.84,1,57.67
269,7,1,0,94118.58,4,0,4069,5391,99.88,21.59,7,37.47
29,6,0,1,96498.83,3,10,815,1655,50.9,46.38,7,74.62
605,6,0,2,74424.16,4,5,622,2406,47.96,53.24,7,53.94
350,0,0,0,76301.45,1,5,9510,9086,86.47,57.29,3,43.21
288,5,1,0,106276.67,3,11,813,2546,95.92,50.01,5,64.31
592,0,0,2,114843.48,4,12,9965,2903,91.98,43.49,1,46.01
633,1,0,2,33122.25,1,4,187,8383,21.9,8.62,7,28.55
36,2,0,2,112646.79,0,7,2976,8835,34.51,94.79,7,27.37
116,2,0,2,128177.18,3,12,7678,5185,22.6,54.03,1,33.84
545,0,0,0,87311.09,3,17,4517,3138,15.96,86.18,0,51.11
76,6,0,0,93530.19,0,15,4742,4747,92.46,19.9,6,53.04
234,6,1,2,41380.56,4,5,701,3748,72.19,22.63,4,47.46
152,1,0,0,61072.12,1,17,5028,7954,13.43,23.69,1,59.66
586,5,0,0,147474.55,4,17,3722,8025,95.69,54.06,2,66.61
111,4,1,2,99763.19,0,16,6683,3285,74.98,71.29,0,37.61
434,6,1,2,39219.27,1,19,3161,1466,89.91,91.28,1,43.23
135,7,1,1,47345.9,2,15,5603,6775,71.4,85.49,3,76.68
164,2,1,1,36480.96,4,1,3400,2048,42.57,23.04,3,62.43
42,0,1,0,112692.04,2,16,2870,9159,51.62,50.77,3,20.36
9,6,0,1,53447.29,1,17,7125,470,85.94,78.62,1,67.13
221,5,1,1,66531.98,1,20,6137,8584,80.82,20.06,3,60.05
216,3,0,1,115731.01,4,12,6625,5265,96.13,78.58,3,22.78
330,0,1,0,48522.58,4,2,3494,1524,89.76,88.44,6,40.62
361,7,0,1,95483.65,2,4,5842,2181,54.32,65.13,4,40.78
348,0,1,0,145028.73,2,4,7767,669,48.68,94.53,4,60.52
28,7,0,2,134199.76,1,9,5919,7865,6.29,73.96,5,37.44
143,2,1,1,129086.95,0,10,8436,7321,86.99,92.97,0,27.0
381,2,1,0,49354.81,2,13,7779,2602,15.01,5.23,1,47.94
492,1,0,0,78151.66,4,12,1542,224,93.08,38.05,3,27.12
556,2,0,1,142772.8,0,6,8551,7427,1.56,14.37,6,73.21
499,6,1,2,77414.15,0,16,1135,1815,28.29,30.13,1,22.82
35,6,0,1,132109.73,4,9,1393,5492,44.12,82.2,3,64.51
178,0,1,1,101582.62,3,17,2010,4265,76.32,33.41,7,34.36
203,2,1,0,126030.56,2,16,6398,9686,10.28,45.75,5,67.3
301,4,1,1,63660.78,2,8,6427,2431,35.98,45.38,4,64.92
443,3,1,1,73217.2,1,14,1024,4511,36.72,75.12,7,79.33
508,3,1,2,94919.8,1,12,1339,8007,18.1,67.66,5,31.77
350,0,0,0,108805.77,2,3,6086,1278,13.71,94.72,5,23.89
494,0,0,2,56786.75,1,2,6513,5031,84.53,97.18,1,61.5
152,3,0,2,132524.15,2,7,9910,1918,96.0,71.28,0,29.85
23,1,1,2,143518.25,1,3,4866,2662,30.27,46.55,2,53.4
380,2,1,1,59422.0,0,19,4293,8258,62.32,66.46,3,70.41
24,1,0,2,47620.87,0,12,9748,5026,96.93,42.37,3,51.55
15,0,1,2,108313.35,4,11,3020,7776,72.28,52.13,3,47.94
389,4,0,0,115733.83,3,8,245,1348,82.8,82.18,7,51.48
591,7,1,1,74976.7,4,9,6805,8708,54.31,48.3,4,59.53
387,4,1,2,45128.7,4,17,3983,4328,28.97,59.57,4,62.93
144,6,1,0,86685.95,2,3,2123,8756,6.46,98.3,3,21.56
212,1,0,1,65110.03,0,20,9241,7360,97.91,61.47,4,32.58
254,3,0,2,95591.96,1,19,5099,3767,3.67,29.38,6,66.3
32,1,1,1,115218.06,3,11,5664,726,79.7,14.22,4,54.18
386,5,0,0,91153.53,1,17,5543,7847,42.83,97.81,3,45.09
292,5,1,2,39821.63,3,9,8656,1839,18.11,68.75,0,48.13
491,5,1,0,95652.17,3,18,2147,200,91.86,39.85,3,79.28
569,4,1,1,74928.04,1,8,6224,4765,97.13,51.86,7,67.83
152,2,0,0,30082.02,1,18,5061,2666,95.49,53.61,1,36.82
542,3,0,0,68534.6,0,0,2239,2287,16.95,11.31,6,35.16
327,0,1,2,100364.95,2,9,3614,7433,83.06,9.25,6,57.36
37,2,1,1,56683.32,3,7,9468,1197,73.55,12.79,6,33.48
238,1,1,2,40113.86,4,1,5842,4041,99.69,29.24,5,43.07
391,2,0,0,122712.77,4,13,7452,533,38.31,12.64,4,57.39
447,5,1,1,138559.19,4,2,1865,7124,8.34,6.68,4,78.01
56,3,1,1,111482.46,1,3,7139,2848,72.38,85.15,3,61.77
143,7,0,1,62522.17,2,9,426,2184,0.43,1.31,6,53.4
137,0,0,1,44542.32,0,12,3008,5292,93.08,56.09,4,55.49
35,0,1,1,115671.06,2,18,5068,1631,49.36,73.57,2,33.37
638,5,1,2,43802.25,0,15,8052,7954,65.03,86.35,5,24.81
534,3,0,0,132375.17,1,11,847,9885,81.56,1.97,7,79.69
296,2,1,0,137288.73,4,10,7120,7702,9.61,26.54,3,35.75
392,2,1,2,31798.64,2,9,7886,3875,77.57,16.72,7,71.87
79,1,0,1,95635.67,1,0,6192,575,8.04,11.56,0,68.89
420,5,1,1,103114.26,0,6,4262,7171,27.99,72.44,4,64.8
510,2,0,0,129182.71,4,11,9680,9221,56.75,46.68,7,54.16
466,0,1,1,124163.37,4,10,6069,2051,92.95,26.41,6,64.49
101,4,0,0,86255.49,1,19,6848,6126,78.17,6.46,3,21.4
177,3,0,1,98270.84,0,14,2100,4815,78.0,3.09,7,35.38
46,1,1,0,125777.17,3,11,8080,8549,88.61,18.83,2,41.76
189,4,1,0,96517.87,0,9,2440,4924,50.73,76.44,7,71.39
563,0,0,2,66108.46,3,19,5190,9121,78.7,11.59,4,79.76
32,5,0,2,42123.55,4,11,3375,9427,81.03,27.86,7,34.02
19,6,1,2,79247.56,1,18,148,4850,97.16,63.98,7,52.83
190,2,0,0,135527.8,3,13,1496,6566,48.89,91.28,2,20.47
20,3,1,1,103605.72,4,19,8653,9418,82.02,16.14,1,73.22
232,4,0,0,125240.22,1,20,3266,7064,90.05,75.5,4,64.37
123,0,0,1,84259.31,1,18,4979,5010,81.84,82.85,4,51.08
6,5,1,2,143698.64,2,19,7183,880,26.95,62.03,1,69.01
356,2,0,2,137199.79,3,10,2277,424,5.01,60.0,6,34.43
200,0,0,0,66477.58,0,11,9791,2123,54.69,50.28,7,20.69
15,1,0,0,89399.03,2,17,6622,6520,85.77,30.99,2,54.39
66,1,1,2,89906.41,1,11,3007,8110,82.73,52.83,5,50.56
76,7,1,1,101774.94,3,18,4674,3718,91.55,62.82,6,62.46
81,3,1,0,131835.84,4,16,6314,3279,65.18,86.96,6,42.78
427,4,1,2,72306.22,4,4,1169,9952,93.25,52.89,7,45.55
62,3,1,1,144453.63,3,17,2732,8497,78.88,58.41,4,34.24
156,4,1,2,90734.3,2,20,9306,2830,65.81,29.91,1,52.0
175,1,1,2,102041.25,0,4,7973,2664,21.48,97.04,7,67.23
288,7,1,2,32631.51,2,7,918,374,5.79,55.59,6,39.75
633,2,0,2,110089.08,1,16,7984,4961,89.47,8.02,0,37.78
621,2,0,0,31374.53,4,5,2519,1191,42.86,78.34,3,62.35
388,0,0,0,106745.24,3,19,5590,5737,95.49,44.25,3,74.34
608,1,1,0,118420.93,3,3,3071,6973,70.01,82.6,2,22.32
366,3,0,2,148555.76,1,3,5613,3240,93.38,19.31,0,41.79
109,5,0,1,42568.43,1,20,659,5208,33.03,25.62,2,61.79
83,6,0,2,72211.3,2,5,1073,1829,7.61,20.72,5,55.85
102,6,1,1,90116.03,2,5,2667,1438,34.08,65.15,5,56.94
633,3,1,2,64812.94,3,6,9794,5764,92.38,62.44,0,78.43
35,0,1,1,41738.24,2,6,9520,8776,81.51,46.78,4,67.35
332,2,1,0,64897.31,4,11,4540,1996,97.81,89.6,4,77.22
315,4,0,0,102496.94,0,16,2846,5782,1.07,73.08,6,41.77
368,2,1,1,59470.91,1,4,3290,6658,18.64,12.1,4,51.41
343,3,0,2,73567.18,1,1,8806,833,7.78,47.06,4,20.12
174,4,1,1,122469.19,1,6,309,5365,42.61,72.0,7,73.35
386,2,0,0,96261.78,4,3,1353,7982,29.41,26.71,4,25.9
518,4,1,2,54937.19,2,10,6872,2619,25.13,98.3,3,28.15
638,5,0,0,110472.77,0,3,4232,2368,95.97,85.69,4,36.53
502,4,1,2,68625.46,4,12,103,8879,99.67,31.94,1,57.07
624,7,0,0,140291.84,3,7,5362,2577,55.41,68.83,3,69.32
588,1,0,0,132906.71,2,12,8912,3043,94.05,84.35,3,55.72
361,1,1,2,109781.19,3,10,7670,3918,80.54,77.15,5,32.95
126,5,1,2,90408.82,2,6,5240,4210,90.61,13.4,3,74.61
613,1,1,1,140099.43,1,15,4340,9431,38.25,66.65,3,74.5
491,3,0,2,68263.29,0,10,2507,8989,51.17,29.29,4,72.84
488,2,0,2,80883.54,0,4,5986,4880,39.83,48.48,1,31.23
380,0,0,2,71383.18,1,14,4574,6529,94.79,57.51,3,30.94
629,6,0,2,113666.81,4,20,8957,9590,50.64,64.08,6,76.18
394,7,0,2,130024.39,0,3,7274,9294,73.46,84.23,5,43.97
522,5,1,0,62876.3,3,20,1271,3010,94.16,17.6,3,30.86
513,1,1,2,46069.15,3,16,5443,7004,73.4,84.6,0,62.57
267,3,0,0,99597.5,1,17,2428,7840,58.46,62.17,2,55.81
2,2,0,2,85551.09,1,11,5257,9137,15.02,4.84,3,49.9
587,4,0,2,78732.58,1,14,2830,9661,56.16,92.38,5,77.44
309,4,1,1,96283.6,0,18,5754,2434,94.27,35.21,5,44.54
602,5,0,2,89456.87,3,12,8086,4981,93.93,22.39,1,42.09
390,4,1,1,134691.05,4,19,3828,6111,23.21,17.78,7,65.8
430,3,0,2,47291.39,4,4,9874,8279,44.42,36.64,5,39.32
286,0,1,2,109893.39,0,7,2214,3221,52.37,98.7,5,60.35
440,2,0,0,120998.27,4,7,9965,5384,73.99,70.91,2,59.41
233,5,0,0,129191.86,1,19,5930,1998,19.42,29.27,7,38.27
533,5,0,2,30183.23,2,13,1702,3499,53.44,32.95,3,36.23
574,7,1,0,133839.11,1,3,4087,6573,77.49,97.02,7,21.32
454,4,1,2,149177.06,1,2,6372,7684,91.13,96.09,1,22.37
215,3,0,0,128939.27,1,3,4674,940,90.24,35.11,0,69.63
571,7,0,0,34467.8,4,11,8595,2356,90.03,73.46,6,48.23
83,7,1,1,48498.17,3,10,166,4234,31.04,59.56,3,24.35
484,5,0,0,112694.29,1,0,7127,786,41.21,38.49,4,31.11
176,2,0,2,117168.13,3,19,1803,6270,14.21,64.99,6,73.77
179,4,1,1,85839.95,3,7,370,8428,16.21,20.95,7,24.91
190,1,0,2,41568.32,0,7,1641,8446,9.91,20.58,5,48.74
240,3,0,2,122482.55,1,18,6336,9949,25.45,87.64,0,69.66
353,7,1,1,128987.36,2,10,316,6617,43.49,87.46,6,71.1
33,0,1,0,144279.99,2,6,581,6806,16.19,11.67,4,71.64
554,0,1,1,103008.1,1,20,9655,8179,14.69,97.36,1,23.19
376,0,0,0,63364.07,4,8,9737,3603,51.88,81.05,1,24.48
307,7,1,1,106420.71,1,20,6636,6527,1.66,49.82,2,40.94
65,5,1,2,129374.84,0,18,7815,9402,75.29,70.53,5,79.53
457,3,1,1,123066.75,4,2,9481,4889,56.0,63.09,3,22.03
460,1,1,1,109282.35,0,3,994,1417,24.76,4.89,3,55.65
383,2,1,2,49382.62,1,1,3742,4073,79.82,91.02,5,38.2
201,2,1,2,66741.46,3,13,2992,3517,62.79,5.14,2,46.21
228,3,1,1,99117.62,2,18,765,3065,85.55,40.52,4,77.9
328,1,1,1,130282.87,3,14,3230,2863,37.1,84.85,1,33.92
368,3,1,0,104463.36,4,4,4375,6430,31.99,89.55,3,37.56
24,4,0,2,49214.16,4,8,419,6273,77.76,32.14,2,75.99
585,3,0,1,123289.32,3,18,6949,1766,10.19,40.26,4,67.83
348,1,1,2,40138.82,2,14,4461,3641,18.31,81.81,7,53.25
532,3,1,1,88443.27,4,16,121,8613,5.53,15.39,4,55.01
105,7,1,2,127590.49,0,5,1028,2850,80.8,86.4,0,64.9
300,6,1,1,68766.22,3,4,2402,6663,72.03,98.8,3,29.92
27,4,1,0,65837.11,1,3,9480,7096,96.22,20.69,2,23.03
86,5,1,1,50235.18,1,20,8311,9401,86.15,63.28,0,31.36
102,3,1,1,85545.38,3,8,1744,2315,93.73,37.04,7,31.73
100,5,0,2,98958.74,1,17,7923,1834,98.04,67.52,7,46.0
228,3,1,0,142616.86,1,8,8830,7825,0.06,37.76,0,63.4
527,6,0,1,125383.44,0,0,618,8944,93.99,40.74,7,61.43
158,3,0,1,113297.32,0,8,9548,7281,82.78,79.61,7,27.5
318,7,1,0,113991.59,0,12,7530,390,69.98,87.79,7,71.88
70,2,1,1,76181.86,2,6,6281,7520,49.96,12.27,1,20.76
437,2,1,1,54341.13,0,17,6967,6939,69.48,10.07,4,44.41
27,3,1,2,77429.82,2,19,3023,7599,42.83,81.12,6,55.33
408,5,1,0,70841.05,1,11,4046,1708,37.3,7.09,0,33.01
325,4,1,1,94442.2,3,12,7885,4787,92.82,8.66,7,68.68
109,1,1,2,68850.84,2,9,9336,8675,35.99,17.15,0,69.08
214,7,0,0,149781.35,4,8,331,9524,68.44,76.12,3,37.94
85,0,1,2,77432.87,2,3,152,5053,13.01,80.8,5,53.82
582,0,0,1,144115.67,1,3,5237,2017,96.21,85.85,2,49.69
334,0,0,1,95081.03,0,15,2526,5731,52.5,74.24,5,23.16
121,6,1,0,47537.77,1,6,4198,7195,2.01,70.85,5,65.91
309,3,1,1,130970.36,2,16,4177,5593,17.66,37.95,0,21.92
202,3,1,1,59210.07,4,12,3200,4919,32.7,71.96,2,64.95
143,3,1,2,72058.61,4,2,7485,6442,87.66,37.7,1,30.52
214,2,1,2,109356.55,3,10,9596,9947,93.72,32.66,3,75.6
126,1,0,1,142963.7,2,16,8857,5261,56.22,13.86,5,31.9
56,3,0,0,109415.32,4,1,8244,2582,3.67,70.81,7,22.04
9,4,1,0,117834.71,4,6,6486,2155,75.96,65.79,2,47.88
586,5,0,1,145798.12,1,4,2141,8092,15.59,41.89,1,57.73
189,0,1,2,57580.63,0,4,2067,8768,71.18,66.32,6,22.9
601,5,1,0,44557.58,1,7,8600,8451,49.05,83.13,1,65.64
523,2,0,1,34014.29,1,4,9153,4251,72.94,70.21,5,48.75
386,1,1,1,56135.47,0,4,1229,7369,66.08,21.61,7,23.48
601,1,1,0,91977.75,4,3,4837,6074,33.76,25.2,3,54.17
285,7,1,1,82613.9,3,19,8168,247,94.57,80.17,7,78.47
367,3,0,0,139546.53,3,2,8634,6057,20.93,36.43,5,23.45
486,3,0,2,114687.7,2,17,1573,4576,39.34,59.74,7,32.08
597,3,0,0,116137.46,3,20,6994,7015,90.45,94.18,2,72.82
566,7,0,0,53663.8,2,17,4610,349,46.16,53.06,5,43.59
113,0,0,0,65559.22,0,8,3836,7536,98.5,44.05,0,70.7
74,1,0,1,97707.95,0,19,3744,7692,80.78,8.84,5,33.25
271,2,0,1,125897.7,3,14,2633,6432,9.43,12.37,4,51.42
163,7,0,2,112131.52,2,0,224,8836,66.38,49.41,7,28.07
471,0,1,2,62451.48,1,7,888,1424,56.65,60.73,7,57.72
572,1,1,2,40789.83,0,0,9761,5197,34.55,4.13,7,41.54
283,2,0,0,80088.65,4,1,2618,8552,42.17,85.67,3,32.31
305,7,0,2,136572.76,0,9,3166,1962,95.26,2.92,2,71.56
464,0,0,1,97488.67,2,15,6982,2981,64.6,50.43,2,78.54
579,3,0,0,41201.94,2,10,4649,7882,14.39,51.91,1,22.4
107,0,0,1,131949.79,0,10,2686,5686,55.48,60.19,3,54.35
479,0,1,0,79089.3,4,15,7630,8829,34.24,73.65,0,31.35
179,6,0,1,34690.02,0,11,2224,4485,94.27,88.99,7,75.8
548,7,1,1,48640.55,4,9,9839,2285,84.16,86.6,7,42.18
366,0,1,0,107480.14,0,9,8209,9061,3.82,54.8,1,42.87
179,3,0,1,95776.98,4,9,9570,2719,67.1,83.0,7,68.78
178,4,0,1,72609.75,2,11,1667,1006,48.97,74.45,6,72.09
574,3,1,1,112087.25,3,0,1719,9407,24.92,55.04,6,33.86
212,1,0,2,139712.5,3,10,170,8989,39.05,82.25,7,24.96
455,5,0,1,77192.8,1,5,8599,5317,6.09,89.44,0,68.48
73,7,1,1,62828.37,1,6,4099,6401,79.93,71.86,7,29.77
495,6,0,0,51791.67,4,1,8219,8073,84.11,13.02,1,23.01
346,1,1,1,55760.02,0,12,503,1346,67.15,96.86,0,75.13
505,0,0,0,59454.94,2,19,6704,5261,0.23,8.69,5,56.43
188,2,1,2,42488.01,0,5,402,6340,51.41,83.34,7,53.99
128,4,0,0,77281.53,3,5,2875,7619,18.72,2.01,2,60.24
342,5,0,0,137571.97,3,9,1122,3444,69.87,86.68,3,64.01
453,2,0,0,130153.62,1,18,6479,5918,5.12,50.34,5,77.22
524,7,0,2,113793.89,3,16,7508,2627,63.25,76.79,7,26.47
553,5,1,2,107858.12,0,4,1568,2277,45.49,8.58,0,29.3
236,5,0,2,38098.44,4,15,4561,9745,29.47,65.0,3,21.37
84,1,1,0,89396.08,4,13,1485,7901,21.66,27.42,6,73.9
629,5,1,1,64110.39,1,8,4618,503,79.42,6.15,0,46.97
557,7,0,2,34634.36,2,9,1445,8431,39.76,0.15,2,42.83
80,4,1,1,44616.29,3,0,8759,1961,21.95,78.18,7,65.01
312,1,0,2,109252.44,3,19,3532,2877,68.64,12.1,5,64.88
35,6,0,2,134551.61,4,9,2006,1499,63.25,22.5,5,48.14
370,6,0,2,50387.37,2,7,9588,3110,54.35,78.2,3,54.6
363,3,1,1,62145.09,1,20,908,5230,53.9,29.02,7,67.75
265,2,0,1,65680.54,3,3,4224,8820,10.11,85.45,2,49.52
583,5,0,2,68860.07,0,5,1268,4689,85.42,0.96,1,45.28
407,4,0,0,73136.88,2,14,4424,2717,0.5,31.59,4,31.24
96,0,1,1,41908.92,4,7,4748,4606,48.77,69.33,4,69.85
275,7,0,2,139500.27,4,3,9702,8480,9.99,7.32,1,63.4
402,4,0,0,62613.61,4,17,243,6694,77.06,88.97,6,32.52
476,1,0,1,120206.9,0,15,9481,2028,19.19,20.33,0,39.56
154,1,0,1,115182.65,3,14,2856,9310,6.38,14.4,4,53.54
268,5,1,1,81958.04,1,20,4340,5232,98.37,46.01,5,61.1
183,0,0,1,71644.15,2,4,3045,1378,81.55,3.23,3,25.9
475,4,0,1,65452.56,1,6,4803,5188,54.95,27.81,3,47.25
35,3,1,0,120403.35,0,10,1909,4486,6.5,3.78,3,46.43
317,1,0,0,63922.67,0,8,3749,3871,23.78,45.19,5,27.49
103,6,1,0,39063.23,3,16,7619,171,25.96,4.57,4,29.78
333,7,0,1,87747.13,3,5,5541,8177,11.37,59.36,3,28.0
45,6,0,0,32711.55,4,2,4236,7478,33.88,32.53,6,72.52
22,7,1,2,116905.6,4,2,2185,4567,15.69,49.96,2,60.74
309,0,1,1,131535.74,4,14,9371,5079,37.31,9.83,0,24.34
141,3,1,2,56050.88,3,12,9185,7504,15.08,44.12,7,49.53
623,2,1,2,43050.93,4,4,3427,8781,12.68,55.56,4,72.34
416,3,1,2,89305.37,0,0,1614,9361,88.12,67.51,6,45.37
249,5,1,1,133185.53,4,13,6299,4010,49.82,92.83,6,42.36
134,3,1,2,51527.99,3,20,7946,6972,77.38,99.61,6,70.92
402,2,1,1,74684.0,2,9,271,7737,0.85,10.04,3,24.38
482,4,1,2,73645.29,3,2,7217,9462,90.12,19.41,5,73.35
185,6,1,2,32140.99,2,1,9634,8178,20.35,20.01,4,50.43
344,2,0,1,42449.41,3,10,4100,1600,37.96,42.63,0,74.87
489,7,0,2,66231.58,4,15,5653,1325,34.42,89.8,2,38.19
539,0,0,1,133084.2,4,14,9564,4801,29.58,28.42,3,73.46
120,3,0,1,94934.48,1,10,5678,7480,95.53,39.62,0,40.99
88,5,0,0,139024.13,2,13,6436,1219,78.76,10.96,1,25.5
592,1,1,2,37612.64,4,13,8669,1245,35.16,2.15,2,41.47
372,6,1,2,83524.45,3,19,8799,9420,17.1,37.49,1,22.31
474,3,1,1,75665.84,2,1,6975,2558,63.71,78.49,6,49.24
85,3,1,0,37239.94,1,6,4187,271,41.98,8.25,5,31.71
508,3,0,1,118504.98,2,18,4417,368,45.23,3.38,1,35.59
582,1,0,2,32369.54,1,3,8426,6771,57.42,4.84,5,31.13
521,0,0,1,144257.7,4,4,6096,4151,54.2,10.86,3,74.59
383,4,0,2,121536.96,2,16,6213,1081,34.91,5.01,7,50.23
152,4,1,2,117924.89,2,16,3212,6242,33.65,85.71,0,52.53
576,5,1,0,123017.67,4,1,2378,6460,79.2,41.47,4,26.5
360,4,1,0,68891.87,2,3,9585,1503,61.87,90.19,5,37.78
551,1,0,1,115281.07,3,12,8567,8361,29.52,13.8,5,56.75
448,7,0,1,121615.39,0,19,4887,8294,9.86,40.64,4,76.15
178,2,1,1,53727.95,0,8,9074,5422,96.1,24.72,4,49.63
424,6,0,0,106521.39,2,16,6378,2712,7.23,38.35,0,24.4
446,3,0,0,65746.05,0,6,2408,4344,23.28,97.85,6,38.17
596,7,0,1,95073.76,3,14,8923,3341,57.45,31.6,2,64.62
119,6,1,2,97817.37,2,12,5959,8355,41.28,2.35,2,24.33
367,7,0,2,75698.43,0,13,2752,9320,20.57,67.65,3,20.88
628,5,0,1,138453.63,2,0,4840,4836,24.04,48.45,5,30.05
11,2,1,0,99419.25,1,19,2537,7227,7.68,32.85,2,50.99
72,5,0,1,106242.33,1,7,8411,6111,20.71,90.0,7,56.66
353,3,0,0,113191.35,2,3,9029,3657,5.49,88.2,7,68.54
388,1,1,1,101664.45,4,3,9037,7569,19.34,38.69,2,69.28
418,6,0,0,108839.99,3,11,8931,2724,66.68,8.43,3,29.22
119,1,0,2,42504.06,3,19,8906,8585,43.02,49.58,1,58.73
241,4,0,0,31264.17,2,6,3894,6101,50.28,22.59,2,31.9
634,6,1,0,120788.88,1,12,5610,2951,4.67,19.99,7,43.69
229,6,1,1,85227.63,4,20,9148,2747,26.01,59.23,5,79.13
443,6,0,0,95212.96,0,9,2389,3293,2.11,10.77,7,32.08
32,4,0,0,94437.56,1,4,1189,851,45.31,32.62,6,27.28
75,1,0,2,60342.53,4,8,1702,832,10.92,87.85,0,33.02
193,5,0,1,88002.93,3,19,2793,7768,71.61,25.62,2,51.03
